ALL_Uniq,Name_USGSO,Densità_pop,evi,eolico,eolico_std,offshore,geothermal_potential,hydro,temp,solar_pow,solar_seas_ind,superficie_res,Densità_pop_etichetta,Solar_etichetta,Wind_class,consumption_etichetta,NO_res,gdp_cons_pop_urban_merged
88377,UNNAMED,-0.07727956792521963,0.12333869190794848,1.1461809399945655,0.21403505134209294,0.0,0.0,0.0,0.11750744386173327,7.882158030811065,-0.32102473954864114,-0.3721686939135186,M,L,1,XS,0,-0.15242053659430813
88385,UNNAMED,0.3435128946279643,-0.14731894774976317,1.156399084119607,0.18006465706551342,0.0,0.0,0.0,0.11111739634760641,7.940743708131807,-0.31568042605379826,-0.8995982298996995,M,L,1,XS,0,-0.14836204641303716
88410,UNNAMED,-0.9092114467681115,0.8089581143787783,0.6663946895925117,0.04665510990360423,0.0,2.4489371470421744,2.1870935016075834,0.10439654884147542,7.761478328024497,-0.22556778314602433,0.5057481342788949,S,M,1,S,0,-0.10101056125947869
88411,UNNAMED,-0.8365660541836121,0.7495956723549444,0.6923096974946854,-0.0063319764379934935,0.0,0.0,2.0163014523163585,0.10268255982650709,7.685453876882473,-0.21774080674097795,-0.31517032663321415,S,M,1,XS,0,-0.1715637054654744
88427,UNNAMED,0.21280951725683248,0.6747142933765568,1.4906066127438884,0.13157333045436495,0.0,0.0,0.0,0.07853213394810894,7.594983335165293,-0.29653170035660453,-0.47431108746723855,M,M,1,XS,0,-0.1526474474837183
88433,UNNAMED,-0.906156228993427,1.053503955298524,0.6961264748127067,-0.03679305158507192,0.0,0.0,2.0880746210713816,0.10265580903280394,7.66269486955455,-0.21490913848235074,0.5887634514286508,S,M,1,S,0,0.03090172399505275
88440,UNNAMED,0.10133977291595868,0.5269384666157577,0.9681341695762313,0.21621332136165605,0.0,0.0,0.0,0.08481537447295848,8.052784155509746,-0.25115448255715683,-0.22439626351326272,M,L,1,XS,0,-0.15907205843541763
88447,UNNAMED,0.02113154823077731,-0.08341075225387598,0.9681341695762313,0.21621332136165605,0.0,0.0,1.5965590777822398,0.08481537447295848,8.01352304103691,-0.23258723466808595,-0.48826739448114104,M,L,1,XS,0,-0.1972346810939985
88449,UNNAMED,-0.21422578933637684,0.5049028383772075,0.9681341695762313,0.21621332136165605,0.0,0.0,1.5736384935636323,0.08481537447295848,8.094239959721625,-0.24217804965429818,-0.2390802650973709,S,L,1,XS,0,-0.1784934770782159
88453,Marajo,-0.07328971518694664,0.6979737201112345,0.587494521119522,0.5607303414510314,0.0,0.0,1.783707109243459,0.0946718299283258,7.819380604037924,-0.18813456883129023,-0.5707124484070936,M,M,1,XS,0,-0.1673085585200685
88454,Marajo,-0.9036649310801113,0.7765033413260471,0.6480858494102392,-0.07724062897203118,0.0,0.0,1.6491191836551777,0.0789705213274864,7.389799358453837,-0.19861987567017764,0.09782823601969545,S,M,1,XS,0,-0.14124137539205694
88455,UNNAMED,-0.802436104174851,0.9074017169497822,0.5961422137615799,0.1737232175739096,0.0,2.3396055930884057,2.1093051440515227,0.07750651355121137,7.433355189283212,-0.21159253302292544,-0.5597971432299718,S,M,1,XS,0,-0.11416466863240704
88460,Marajo,-0.0400827814032501,1.0192324859745052,0.5846113030542699,0.5329695755010366,0.0,0.0,1.5672847827858252,0.0946718299283258,7.752893877580974,-0.17490281612954894,-0.5648499114710075,M,M,1,XS,0,-0.13722847048661693
88464,Marajo,-0.5528034615767199,0.9492055213164643,0.5603529231975508,0.21573370665072586,0.0,0.0,1.6630750043887208,0.07626626194057835,7.395731580737501,-0.22384256663161634,-0.2849573636360872,S,M,1,XS,0,-0.17097196614668608
88467,Marajo,-0.5885173541097866,1.1603048842412833,0.5525513716118152,0.22359511157451734,0.0,0.0,1.5332075133682914,0.07626626194057835,7.374301178624286,-0.22511887538541714,-0.8395266092636599,S,M,1,XS,0,-0.1945264384328668
88469,Marajo,-0.05495252439645872,0.6064150930219371,1.103849754159101,0.2929600101437702,0.0,0.0,1.5606354463449543,0.08481537447295848,7.831015033827457,-0.18382916945350894,-0.3296414533828798,M,M,1,XS,0,-0.18858253523449817
